id;time;temp;humidity;light;moisture;plant_id
53;2020-04-24T01:00:17;14.6;0.54;4660;0.34;18
54;2020-04-24T02:00:17;15.7;0.55;4665;0.34;18
55;2020-04-24T03:00:17;15.9;0.54;4665;0.34;18
56;2020-04-24T04:00:17;17.8;0.57;4665;0.32;18
57;2020-04-24T05:00:17;18.3;0.6;5150;0.31;18
58;2020-04-24T06:00:17;18.5;0.62;5630;0.3;18
59;2020-04-24T07:00:17;18.7;0.64;7244;0.3;18
60;2020-04-24T08:00:17;18.9;0.61;9120;0.3;18
61;2020-04-24T09:00:17;19.5;0.63;8736;0.87;18
62;2020-04-24T10:00:17;19.7;0.63;8994;0.86;18
63;2020-04-24T01:00:17;14.6;0.54;4660;0.34;19
64;2020-04-24T02:00:17;15.7;0.55;4665;0.34;19
65;2020-04-24T03:00:17;15.9;0.54;4665;0.34;19
66;2020-04-24T04:00:17;17.8;0.57;4665;0.32;19
67;2020-04-24T05:00:17;18.3;0.6;5150;0.31;19
68;2020-04-24T06:00:17;18.5;0.62;5630;0.3;19
69;2020-04-24T07:00:17;18.7;0.64;7244;0.3;19
70;2020-04-24T08:00:17;18.9;0.61;9120;0.3;19
71;2020-04-24T09:00:17;19.5;0.63;8736;0.87;19
72;2020-04-24T10:00:17;19.7;0.63;8994;0.86;19
73;2020-04-24T01:00:17;14.6;0.54;4660;0.34;20
74;2020-04-24T02:00:17;15.7;0.55;4665;0.34;20
75;2020-04-24T03:00:17;15.9;0.54;4665;0.34;20
76;2020-04-24T04:00:17;17.8;0.57;4665;0.32;20
77;2020-04-24T05:00:17;18.3;0.6;5150;0.31;20
78;2020-04-24T06:00:17;18.5;0.62;5630;0.3;20
79;2020-04-24T07:00:17;18.7;0.64;7244;0.3;20
80;2020-04-24T08:00:17;18.9;0.61;9120;0.3;20
81;2020-04-24T09:00:17;19.5;0.63;8736;0.87;20
82;2020-04-24T10:00:17;19.7;0.63;8994;0.86;20
83;2020-04-24T01:00:17;14.6;0.54;4660;0.34;21
84;2020-04-24T02:00:17;15.7;0.55;4665;0.34;21
85;2020-04-24T03:00:17;15.9;0.54;4665;0.34;21
86;2020-04-24T04:00:17;17.8;0.57;4665;0.32;21
87;2020-04-24T05:00:17;18.3;0.6;5150;0.31;21
88;2020-04-24T06:00:17;18.5;0.62;5630;0.3;21
89;2020-04-24T07:00:17;18.7;0.64;7244;0.3;21
90;2020-04-24T08:00:17;18.9;0.61;9120;0.3;21
91;2020-04-24T09:00:17;19.5;0.63;8736;0.87;21
92;2020-04-24T10:00:17;19.7;0.63;8994;0.86;21
93;2020-04-24T01:00:17;14.6;0.54;4660;0.34;22
94;2020-04-24T02:00:17;15.7;0.55;4665;0.34;22
95;2020-04-24T03:00:17;15.9;0.54;4665;0.34;22
96;2020-04-24T04:00:17;17.8;0.57;4665;0.32;22
97;2020-04-24T05:00:17;18.3;0.6;5150;0.31;22
98;2020-04-24T06:00:17;18.5;0.62;5630;0.3;22
99;2020-04-24T07:00:17;18.7;0.64;7244;0.3;22
100;2020-04-24T08:00:17;18.9;0.61;9120;0.3;22
101;2020-04-24T09:00:17;19.5;0.63;8736;0.87;22
102;2020-04-24T10:00:17;19.7;0.63;8994;0.86;22
103;2020-04-24T01:00:17;14.6;0.54;4660;0.34;23
104;2020-04-24T02:00:17;15.7;0.55;4665;0.34;23
105;2020-04-24T03:00:17;15.9;0.54;4665;0.34;23
106;2020-04-24T04:00:17;17.8;0.57;4665;0.32;23
107;2020-04-24T05:00:17;18.3;0.6;5150;0.31;23
108;2020-04-24T06:00:17;18.5;0.62;5630;0.3;23
109;2020-04-24T07:00:17;18.7;0.64;7244;0.3;23
110;2020-04-24T08:00:17;18.9;0.61;9120;0.3;23
111;2020-04-24T09:00:17;19.5;0.63;8736;0.87;23
112;2020-04-24T10:00:17;19.7;0.63;8994;0.86;23
113;2020-04-24T01:00:17;14.6;0.54;4660;0.34;24
114;2020-04-24T02:00:17;15.7;0.55;4665;0.34;24
115;2020-04-24T03:00:17;15.9;0.54;4665;0.34;24
116;2020-04-24T04:00:17;17.8;0.57;4665;0.32;24
117;2020-04-24T05:00:17;18.3;0.6;5150;0.31;24
118;2020-04-24T06:00:17;18.5;0.62;5630;0.3;24
119;2020-04-24T07:00:17;18.7;0.64;7244;0.3;24
120;2020-04-24T08:00:17;18.9;0.61;9120;0.3;24
121;2020-04-24T09:00:17;19.5;0.63;8736;0.87;24
122;2020-04-24T10:00:17;19.7;0.63;8994;0.86;24
123;2020-04-24T01:00:17;14.6;0.54;4660;0.34;25
124;2020-04-24T02:00:17;15.7;0.55;4665;0.34;25
125;2020-04-24T03:00:17;15.9;0.54;4665;0.34;25
126;2020-04-24T04:00:17;17.8;0.57;4665;0.32;25
127;2020-04-24T05:00:17;18.3;0.6;5150;0.31;25
128;2020-04-24T06:00:17;18.5;0.62;5630;0.3;25
129;2020-04-24T07:00:17;18.7;0.64;7244;0.3;25
130;2020-04-24T08:00:17;18.9;0.61;9120;0.3;25
131;2020-04-24T09:00:17;19.5;0.63;8736;0.87;25
132;2020-04-24T10:00:17;19.7;0.63;8994;0.86;25
133;2020-04-24T01:00:17;14.6;0.54;4660;0.34;26
134;2020-04-24T02:00:17;15.7;0.55;4665;0.34;26
135;2020-04-24T03:00:17;15.9;0.54;4665;0.34;26
136;2020-04-24T04:00:17;17.8;0.57;4665;0.32;26
137;2020-04-24T05:00:17;18.3;0.6;5150;0.31;26
138;2020-04-24T06:00:17;18.5;0.62;5630;0.3;26
139;2020-04-24T07:00:17;18.7;0.64;7244;0.3;26
140;2020-04-24T08:00:17;18.9;0.61;9120;0.3;26
141;2020-04-24T09:00:17;19.5;0.63;8736;0.87;26
142;2020-04-24T10:00:17;19.7;0.63;8994;0.86;26
143;2020-04-24T01:00:17;14.6;0.54;4660;0.34;27
144;2020-04-24T02:00:17;15.7;0.55;4665;0.34;27
145;2020-04-24T03:00:17;15.9;0.54;4665;0.34;27
146;2020-04-24T04:00:17;17.8;0.57;4665;0.32;27
147;2020-04-24T05:00:17;18.3;0.6;5150;0.31;27
148;2020-04-24T06:00:17;18.5;0.62;5630;0.3;27
149;2020-04-24T07:00:17;18.7;0.64;7244;0.3;27
150;2020-04-24T08:00:17;18.9;0.61;9120;0.3;27
151;2020-04-24T09:00:17;19.5;0.63;8736;0.87;27
152;2020-04-24T10:00:17;19.7;0.63;8994;0.86;27
