id;needs_attention;time_opened;time_closed;status;case_notes;user_id;plant_id
38;TEMP_LOW;2020-03-24T21:21:13;;ASSIGNED;;4;19
39;HUMIDITY_LOW;2020-03-24T11:12:21;;ASSIGNED;;4;21
40;HUMIDITY_LOW;2020-03-24T06:25:50;;OPEN;;;20
41;MOISTURE_LOW;2020-03-24T07:06:45;2020-03-30T09:39:44;CLOSED;Swapped to retaining soil;5;19
42;HUMIDITY_LOW;2020-03-24T22:40:51;;OPEN;;;25
43;HUMIDITY_LOW;2020-03-25T02:29:44;2020-03-30T16:32:23;CLOSED;Watered Plant;4;23
44;MOISTURE_LOW;2020-03-24T09:51:31;2020-03-30T01:24:04;CLOSED;Changed to a different soil;5;25
45;TEMP_LOW;2020-03-24T03:33:42;;ASSIGNED;;4;23
46;HUMIDITY_LOW;2020-03-24T09:45:25;;OPEN;;;21
47;LIGHT_LOW;2020-03-25T01:44:22;;ASSIGNED;;5;27
48;TEMP_HIGH;2020-03-25T02:29:45;2020-03-30T01:24:05;CLOSED;Moved plant to shade;4;23
49;HUMIDITY_HIGH;2020-03-24T09:51:32;;OPEN;;;26
50;MOISTURE_HIGH;2020-03-24T03:33:43;2020-03-30T20:44:56;CLOSED;Drained the soil;5;24
51;TEMP_HIGH;2020-03-24T09:45:26;;ASSIGNED;;5;18
52;NO_DATA;2020-03-24T10:15:23;;ASSIGNED;;5;22
