id;temp_low;temp_high;humidity_low;humidity_high;light_low;light_high;moisture_low;moisture_high
1;2290;36255;94025;81841;28362;65040;46418;36081
2;2558;179;2813;98165;89220;71913;26164;94320
3;45482;17128;92589;23842;40437;98471;84471;16333
4;42464;59812;14692;54230;15213;10525;83827;46632
5;81526;54065;86474;10109;67607;16375;43108;95895
6;9015;70230;38496;50565;34605;91595;55049;46618
7;67548;23784;57102;86801;85904;51180;96003;19894
8;68665;9729;59118;52290;98256;72350;91810;48905
9;98926;97511;10678;8791;65283;32050;39894;95780
10;39872;44127;88441;97946;26294;58286;55153;89409
