id;temp_low;temp_high;humidity_low;humidity_high;light_low;light_high;moisture_low;moisture_high
1;73963;17304;69832;72585;74871;90848;88284;43978
2;22752;46546;87282;43206;4410;2455;99746;67134
3;74994;22851;24993;76042;64469;76917;78788;83493
4;36860;75328;3685;15290;24249;71298;33235;56177
5;94072;93021;76450;31796;833;15268;99608;7344
6;66713;82779;51685;71512;49219;61561;7312;52281
7;1795;97248;20422;95738;75250;45287;25262;15173
8;46706;68337;80231;53232;27914;62472;25506;85294
9;99926;13731;27606;48930;51930;97682;58876;28702
10;20848;61861;21284;3894;32299;84196;61257;81696
